368 851
191 0 56.548
192 75 323.4959999999999
192 193 278.06
192 191 154.221
193 95 173.582
193 194 141.123
193 192 278.05999999999995
194 195 286.34399999999994
194 193 141.123
194 348 135.606
194 217 192.642
195 329 317.082
195 196 639.343
195 194 286.344
196 173 358.802
196 197 199.888
196 195 639.3430000000002
197 340 357.76300000000003
197 69 438.29200000000003
197 196 199.888
198 205 501.022
198 46 416.577
199 263 59.64
199 200 435.745
199 235 129.46099999999998
200 199 435.745
201 202 814.0380000000004
202 240 385.551
202 160 224.25000000000003
202 201 814.0379999999999
203 204 142.00199999999998
203 237 44.268
204 203 142.00199999999998
204 307 75.03699999999999
204 237 84.291
205 198 501.02199999999993
206 182 802.6890000000002
206 82 225.947
206 114 161.935
207 39 213.94
207 281 87.285
207 88 289.95099999999996
208 19 4.345
208 34 476.58000000000004
208 345 1504.4549999999997
209 245 503.02500000000003
209 118 1483.943
209 34 251.359
210 211 67.77799999999999
210 211 67.77799999999999
210 253 82.068
210 86 65.262
211 210 67.77799999999999
211 210 67.77799999999999
211 281 114.54400000000003
212 10 248.876
213 71 173.506
213 67 215.278
213 72 277.492
214 215 115.549
214 71 47.08
214 341 219.659
215 214 115.549
216 81 129.03900000000002
216 226 185.675
216 225 78.87
217 218 154.607
217 194 192.642
217 300 78.989
218 217 154.607
219 123 71.232
219 112 303.18399999999997
220 219 12.018
221 274 683.154
221 322 71.637
222 320 24.669
222 267 190.47299999999998
222 317 161.56
223 75 58.801
223 74 92.76
223 275 125.28
224 136 500.67599999999993
225 216 78.87
226 80 268.778
226 216 185.675
226 244 578.098
227 177 24.211
227 102 30.976
227 96 54.56700000000001
228 24 45.722
228 24 45.722
228 177 44.186
229 24 23.237
230 89 289.232
230 40 353.4479999999999
230 231 25.782000000000004
231 231 75.925
231 231 75.925
231 230 25.782000000000004
232 233 690.221
233 232 690.2209999999999
233 56 432.841
233 244 259.06600000000003
234 47 1242.5160000000003
234 152 522.225
235 236 378.33600000000007
235 199 129.46099999999998
235 262 391.81600000000003
236 235 378.33599999999996
237 204 84.291
237 292 179.546
237 203 44.268
238 187 316.439
239 79 197.576
239 251 313.174
240 241 365.2220000000001
240 63 177.559
240 202 385.55100000000004
241 240 365.22200000000004
242 243 53.254000000000005
242 79 444.30999999999995
242 261 111.087
243 242 53.254000000000005
244 248 269.102
244 226 578.098
244 233 259.06600000000003
245 245 117.14000000000001
245 245 117.14000000000001
245 209 503.025
246 153 232.822
247 92 159.59400000000002
248 244 269.102
248 82 12.051
248 254 508.92900000000014
249 174 79.00500000000001
250 165 351.80199999999996
251 239 313.174
252 91 77.568
252 252 84.87299999999999
252 252 84.87299999999999
253 210 82.068
253 282 37.786
253 281 148.594
254 248 508.92900000000003
254 14 1058.883
254 276 149.659
255 256 62.41700000000001
255 175 76.26799999999999
255 259 81.937
256 257 24.128
256 255 62.417
256 260 72.81700000000001
257 258 41.456
257 258 41.456
257 256 24.127999999999997
258 25 36.589
258 257 41.456
258 257 41.456
259 255 81.937
260 256 72.817
261 242 111.08699999999999
262 235 391.81600000000003
262 319 31.534000000000002
263 199 59.64
263 286 325.961
263 264 165.12800000000001
264 13 779.508
264 299 280.644
264 263 165.128
265 158 133.303
265 315 38.429
266 189 112.57
266 338 180.714
266 335 275.23400000000004
267 268 29.181
267 270 316.81600000000003
267 222 190.473
268 109 78.279
268 109 78.279
268 267 29.181
268 279 122.57000000000001
269 270 53.913
269 185 79.217
269 278 54.768
269 283 28.066000000000003
270 269 53.913
270 286 117.057
270 267 316.81600000000003
271 272 86.754
272 273 28.691
272 271 86.754
272 178 271.004
273 272 28.691
274 221 683.1539999999999
275 223 125.28000000000002
276 254 149.65899999999996
277 106 224.35100000000003
277 306 495.52
277 342 46.983
278 278 118.08300000000001
278 278 118.08300000000001
278 269 54.768
279 268 122.57
280 191 193.64
281 253 148.594
281 207 87.285
281 211 114.54400000000001
282 282 66.711
282 282 66.711
282 253 37.786
283 284 15.468
283 285 32.564
283 269 28.066
284 283 15.468
285 283 32.564
286 270 117.057
286 263 325.961
286 360 432.484
287 136 68.04
287 118 28.729
288 84 33.296
288 294 475.043
289 288 72.426
289 84 77.316
290 291 30.136
290 118 338.888
291 290 30.136
291 292 391.57099999999997
292 117 25.476
292 237 179.54600000000002
292 307 306.797
293 294 29.008
293 119 427.556
294 293 29.008
294 287 488.548
295 122 29.061
295 134 230.927
296 303 28.092
296 130 118.138
297 21 34.857
297 22 39.682
298 305 26.378
298 128 63.984
298 21 59.989999999999995
299 17 459.53100000000006
299 56 606.0469999999999
299 264 280.644
300 15 153.942
300 217 78.989
300 56 751.6009999999999
301 302 251.81
302 303 214.238
302 301 251.81
302 344 291.44100000000003
303 296 28.092
303 302 214.238
303 304 251.85500000000002
304 129 29.907
304 162 148.82600000000002
305 298 26.378
305 339 71.604
305 336 79.36
306 277 495.5199999999999
307 116 23.901
307 204 75.03699999999999
308 289 193.923
309 108 235.30100000000002
309 313 31.875999999999998
310 28 30.083
310 29 27.781999999999996
311 312 103.58
312 309 43.707
312 313 29.839000000000002
313 310 13.787
314 112 33.399
314 156 36.986000000000004
315 316 27.528999999999996
315 318 154.71200000000002
316 262 23.131
316 319 16.139
317 318 24.964
317 316 150.472
318 317 24.964
318 320 158.10800000000003
319 126 28.152
319 30 405.845
320 222 24.669
320 127 506.92
321 125 24.829
321 221 146.68200000000002
322 124 24.969
322 349 126.383
323 314 15.168
324 183 197.79399999999998
325 18 317.13399999999996
325 326 319.055
326 184 225.757
327 18 551.1339999999999
327 324 340.499
328 70 95.102
329 345 10.057
329 195 317.08199999999994
329 330 179.039
330 346 5.63
330 331 167.414
331 330 167.414
331 332 210.60500000000002
331 348 77.51299999999999
332 331 210.60500000000002
332 346 167.284
332 333 120.13400000000001
333 333 65.461
333 333 65.461
333 332 120.13400000000001
334 161 20.39
334 57 35.598
334 188 67.656
335 266 275.23400000000004
335 37 110.04
335 36 900.4739999999999
336 222 528.837
337 57 150.891
338 266 180.714
339 336 122.95899999999997
339 57 300.173
339 305 71.604
340 197 357.763
341 214 219.659
342 277 46.983
342 367 354.053
342 343 357.106
343 342 357.10599999999994
344 302 291.441
345 329 10.057
345 208 1504.4550000000004
346 330 5.63
346 332 167.284
346 345 180.11900000000003
347 348 45.081
348 347 45.081
348 194 135.606
348 331 77.513
349 355 34.177
349 363 101.436
350 354 10.068
350 362 77.378
351 353 60.524
351 352 9.221
352 352 773.756
352 352 773.756
352 351 9.221
353 356 7.4
353 357 697.672
353 357 697.672
354 350 10.068
354 364 82.024
355 220 183.788
356 353 7.4
356 351 58.68899999999999
357 362 10.085
357 353 697.672
357 354 75.845
358 172 131.458
359 151 140.421
359 361 86.71700000000001
360 286 432.48400000000004
360 190 194.20499999999998
360 365 170.009
361 359 85.73700000000001
361 129 66.615
362 357 10.085
362 356 177.89399999999998
363 364 9.895
363 350 82.501
364 363 9.895
364 355 101.143
365 189 160.51
365 360 170.009
365 366 50.202
366 366 191.59300000000002
366 366 191.59300000000002
366 365 50.202
367 342 354.05300000000005
79 110
